id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3687993630,风语咒,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2530872223.jpg,2018-08-03(中国大陆),https://movie.douban.com/subject/30146756/,6.8,"动画,奇幻",,,,2023-02-11 14:39:55,2018 / 中国大陆 / 动画 奇幻 / 刘阔 / 路知行 阎萌萌
3687992611,白蛇：缘起,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2544313786.jpg,2019-01-11(中国大陆),https://movie.douban.com/subject/30331149/,7.8,"爱情,动画,奇幻",,,,2023-02-11 14:38:57,2019 / 中国大陆 美国 / 爱情 动画 奇幻 / 黄家康 赵霁 / 张喆 杨天翔
3687991749,哪吒之魔童降世,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2563780504.jpg,2019-07-26(中国大陆),https://movie.douban.com/subject/26794435/,8.4,"剧情,喜剧,动画",,,,2023-02-11 14:37:56,2019 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫
3687991327,三体,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2886492021.jpg,2023-01-15(中国大陆),https://movie.douban.com/subject/26647087/,8.5,"剧情,科幻",,,,2023-02-11 14:37:28,2023 / 中国大陆 / 剧情 科幻 / 杨磊 / 张鲁一 于和伟
3687990954,中国奇谭,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2885130077.jpg,2023-01-01(中国大陆),https://movie.douban.com/subject/35674355/,9,"动画,短片,奇幻",,,,2023-02-11 14:37:04,2023 / 中国大陆 / 动画 短片 奇幻 / 陈廖宇 於水 胡睿 杨木 刘毛宁 陈莲华 徐宁 顾杨 刘旷 潘斌
3687296257,连城诀,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2427111522.jpg,2004-07-01(中国大陆),https://movie.douban.com/subject/2249544/,8.4,"爱情,武侠,古装",,,,2023-02-10 22:01:24,2004 / 中国大陆 / 爱情 武侠 古装 / 王新民 / 吴樾 何美钿
3687291394,可可西里,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2363208684.jpg,2004-10-01(中国大陆),https://movie.douban.com/subject/1308857/,8.9,"剧情,犯罪",,,,2023-02-10 21:57:43,2004 / 中国大陆 中国香港 / 剧情 犯罪 / 陆川 / 多布杰 张垒
3687290421,疯狂的石头,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p712241453.jpg,2006-06-30(中国大陆),https://movie.douban.com/subject/1862151/,8.6,"喜剧,犯罪",,,,2023-02-10 21:57:02,2006 / 中国大陆 中国香港 / 喜剧 犯罪 / 宁浩 / 郭涛 刘桦
3687289694,英雄本色,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2504997087.jpg,2017-11-17(中国大陆),https://movie.douban.com/subject/1297574/,8.6,"剧情,动作,犯罪",,,,2023-02-10 21:56:24,1986 / 中国香港 / 剧情 动作 犯罪 / 吴宇森 / 周润发 狄龙
3687289340,你的名字。,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2395733377.jpg,2016-12-02(中国大陆),https://movie.douban.com/subject/26683290/,8.5,"剧情,爱情,动画",,,,2023-02-10 21:56:11,2016 / 日本 / 剧情 爱情 动画 / 新海诚 / 神木隆之介 上白石萌音
3687289204,茶馆,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2528965424.jpg,1982(中国大陆),https://movie.douban.com/subject/1461403/,9.5,"剧情,历史",,,,2023-02-10 21:56:00,1982 / 中国大陆 / 剧情 历史 / 谢添 / 于是之 郑榕
3687289004,色，戒,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p453716305.jpg,2007-11-01(中国大陆),https://movie.douban.com/subject/1828115/,8.6,"剧情,爱情,情色",,,,2023-02-10 21:55:50,2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色 / 李安 / 梁朝伟 汤唯
3687288167,釜山行,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2360940399.jpg,2016-05-13(戛纳电影节),https://movie.douban.com/subject/25986180/,8.6,"动作,惊悚,灾难",,,,2023-02-10 21:55:08,2016 / 韩国 / 动作 惊悚 灾难 / 延尚昊 / 孔刘 郑有美
3687287275,唐伯虎点秋香,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2357915564.jpg,1993-07-01(中国香港),https://movie.douban.com/subject/1306249/,8.7,"喜剧,爱情,古装",,,,2023-02-10 21:54:25,1993 / 中国香港 / 喜剧 爱情 古装 / 李力持 / 周星驰 巩俐
3687286745,功夫,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2219011938.jpg,2004-12-23(中国大陆),https://movie.douban.com/subject/1291543/,8.8,"喜剧,动作,犯罪",,,,2023-02-10 21:53:59,2004 / 中国大陆 中国香港 / 喜剧 动作 犯罪 奇幻 / 周星驰 / 周星驰 元秋
